text_id,n_words_masked,n_words_orig,mask_ratio,n_vowels,oov_rate,schwa_v1_AH0,mean_word_length,mean_sentence_length,latinate_ratio,mean_syllables,fk_grade,register
spoken_face-to-face_charlotte_AdamsElissa,548,1220,0.5508196721311476,838,0.0,0.11455847255369929,5.312043795620438,12.842105263157896,0.03832116788321168,1.6587591240875912,8.991778716865156,spoken_conv
spoken_face-to-face_charlotte_AdinolfiDavidandGail,1180,2554,0.5379796397807362,1737,0.00847457627118644,0.13529073114565343,5.1991525423728815,14.67816091954023,0.05,1.6322033898305084,9.394482758620693,spoken_conv
spoken_face-to-face_charlotte_ArguetaBertila-ENG,1590,3979,0.6004021110831868,2102,0.013207547169811321,0.11179828734538534,5.053459119496855,18.947619047619046,0.021383647798742137,1.4773584905660377,9.232401617250677,spoken_conv
spoken_face-to-face_charlotte_AverittShannon,1037,2453,0.5772523440684876,1404,0.003857280617164899,0.11538461538461539,5.013500482160077,12.451776649746193,0.023143683702989394,1.4667309546769527,6.57361815858906,spoken_conv
spoken_face-to-face_charlotte_BorelRaymondHydeII,2718,5967,0.5444947209653093,3574,0.02759381898454746,0.10324566312255176,5.089771891096395,16.170731707317074,0.02869757174392936,1.4757174392935983,8.13005114951812,spoken_conv
spoken_face-to-face_charlotte_BorelRaymondHydeIII,572,1276,0.5517241379310345,765,0.012237762237762238,0.0784313725490196,5.006993006993007,4.656934306569343,0.03496503496503497,1.472027972027972,3.5961344494921157,spoken_conv
spoken_face-to-face_charlotte_CaseCullen,642,1332,0.5180180180180181,975,0.014018691588785047,0.13948717948717948,5.473520249221184,23.36842105263158,0.03426791277258567,1.6682242990654206,13.208730939498281,spoken_conv
spoken_face-to-face_charlotte_CerdaAdam,1045,2376,0.5601851851851851,1633,0.013397129186602871,0.1726883037354562,5.386602870813397,23.067961165048544,0.03444976076555024,1.6813397129186602,13.246313466809124,spoken_conv
spoken_face-to-face_charlotte_ChapmanDebbie,4495,10280,0.5627431906614786,6215,0.009343715239154617,0.09847144006436041,5.05139043381535,10.12807881773399,0.020689655172413793,1.4978865406006674,6.035011918004134,spoken_conv
spoken_face-to-face_charlotte_CheezemBurt,1010,2207,0.5423652016311735,1630,0.013861386138613862,0.1521472392638037,5.747524752475248,14.6158940397351,0.0702970297029703,1.7623762376237624,10.906238279457089,spoken_conv
spoken_face-to-face_charlotte_CombsJane,567,1335,0.5752808988764044,843,0.001763668430335097,0.13048635824436536,5.320987654320987,16.48148148148148,0.04409171075837742,1.6331569664902998,10.109029982363317,spoken_conv
spoken_face-to-face_charlotte_CottonGloria,716,1787,0.5993284834918858,1145,0.004189944134078212,0.1868995633187773,5.628491620111732,13.852713178294573,0.09636871508379888,1.7360335195530727,10.297753670261141,spoken_conv
spoken_face-to-face_charlotte_CoxJeremy,944,2131,0.5570154856874707,1209,0.00423728813559322,0.08188585607940446,4.516949152542373,30.442857142857143,0.018008474576271187,1.3654661016949152,12.395214285714285,spoken_conv
spoken_face-to-face_charlotte_DeLuciaBrian,856,1903,0.5501839201261167,1265,0.002336448598130841,0.12885375494071147,5.27803738317757,19.03,0.03387850467289719,1.5864485981308412,10.55179345794393,spoken_conv
spoken_face-to-face_charlotte_EmrichDavid,778,1665,0.5327327327327327,1162,0.006426735218508998,0.12048192771084337,5.453727506426735,21.907894736842106,0.030848329048843187,1.6812339331619537,12.792639358679477,spoken_conv
spoken_face-to-face_charlotte_FarrowThomas,951,2291,0.5848974247053689,1380,0.0031545741324921135,0.10869565217391304,5.168243953732913,38.18333333333333,0.014721345951629864,1.562565720294427,17.739775499474238,spoken_conv
spoken_face-to-face_charlotte_FeberAngelina,882,2362,0.6265876375952583,1285,0.0022675736961451248,0.13540856031128404,5.08843537414966,18.310077519379846,0.02947845804988662,1.5374149659863945,9.692426831197597,spoken_conv
spoken_face-to-face_charlotte_FlonoFannie,1138,2782,0.590941768511862,1604,0.0035149384885764497,0.11408977556109726,5.062390158172232,22.256,0.021968365553602813,1.5202108963093146,11.028328576449912,spoken_conv
spoken_face-to-face_charlotte_FrancisClem,1902,4310,0.5587006960556844,2795,0.017350157728706624,0.16636851520572452,5.3385909568874865,23.8121546961326,0.03838065194532071,1.6361724500525763,13.003575242112117,spoken_conv
spoken_face-to-face_charlotte_FunkBernie,912,2098,0.5653002859866539,1215,0.007675438596491228,0.1102880658436214,4.8256578947368425,25.27710843373494,0.02631578947368421,1.3969298245614035,10.75184421898119,spoken_conv
spoken_face-to-face_charlotte_GavinJeff,1000,2258,0.5571302037201062,1402,0.002,0.11055634807417974,5.081,10.803827751196172,0.032,1.525,6.618492822966509,spoken_conv
spoken_face-to-face_charlotte_GillardSylvia,971,2252,0.5688277087033748,1328,0.009268795056642637,0.1091867469879518,5.140061791967044,15.424657534246576,0.02059732234809475,1.497425334706488,8.095235387892725,spoken_conv
spoken_face-to-face_charlotte_GoodroeBarbara,903,2053,0.5601558694593278,1260,0.01107419712070875,0.14206349206349206,5.244739756367664,22.81111111111111,0.036544850498338874,1.5337763012181618,11.404893687707645,spoken_conv
spoken_face-to-face_charlotte_GreeneKevin,546,1285,0.5750972762645914,680,0.009157509157509158,0.09117647058823529,4.683150183150183,14.770114942528735,0.018315018315018316,1.335164835164835,5.925289882531263,spoken_conv
spoken_face-to-face_charlotte_GregoryAvis,4012,9625,0.5831688311688312,6303,0.007726819541375872,0.15548151673806124,5.4576271186440675,13.239339752407153,0.060069790628115655,1.7136091724825524,9.793930738732907,spoken_conv
spoken_face-to-face_charlotte_GubbinsPat,1390,3159,0.5599873377651156,1989,0.014388489208633094,0.14630467571644043,5.405035971223022,15.638613861386139,0.031654676258992806,1.5949640287769784,9.32963494550894,spoken_conv
spoken_face-to-face_charlotte_HebardCliff,1133,2577,0.5603414823438106,1536,0.00617828773168579,0.09114583333333333,5.0344218887908205,17.65068493150685,0.02471315092674316,1.4757281553398058,8.707359356297381,spoken_conv
spoken_face-to-face_charlotte_HodgesSamuel,533,1130,0.5283185840707965,748,0.00375234521575985,0.13368983957219252,4.911819887429644,13.950617283950617,0.0525328330206379,1.5103189493433395,7.6725043429921485,spoken_conv
spoken_face-to-face_charlotte_HouseJennifer,923,2142,0.569094304388422,1289,0.0032502708559046588,0.12024825446082234,5.073672806067172,29.34246575342466,0.010834236186348862,1.5308775731310942,13.917917006782528,spoken_conv
spoken_face-to-face_charlotte_JamiesonSean,1454,3361,0.5673906575423981,2231,0.013755158184319119,0.16584491259524878,5.33837689133425,28.974137931034484,0.02544704264099037,1.654057771664374,15.227795498743063,spoken_conv
spoken_face-to-face_charlotte_JenkinsJoe,868,1960,0.5571428571428572,1318,0.01728110599078341,0.13808801213960548,5.195852534562212,18.49056603773585,0.029953917050691243,1.608294930875576,10.599200939048782,spoken_conv
spoken_face-to-face_charlotte_KalbererLauren,575,1262,0.5443740095087164,812,0.020869565217391306,0.1330049261083744,5.373913043478261,74.23529411764706,0.02608695652173913,1.5791304347826087,31.995503836317138,spoken_conv
spoken_face-to-face_charlotte_LeakJeffrey,589,1343,0.5614296351451973,824,0.003395585738539898,0.0983009708737864,5.166383701188455,14.922222222222222,0.028862478777589132,1.5398981324278438,8.400464629315223,spoken_conv
spoken_face-to-face_charlotte_LidingtonLinda,512,1166,0.5608919382504288,775,0.0078125,0.15483870967741936,5.66015625,29.897435897435898,0.037109375,1.67578125,15.844218750000003,spoken_conv
spoken_face-to-face_charlotte_LloydTabatha,1952,4426,0.5589697243560777,2606,0.022028688524590164,0.10207214121258634,5.022540983606557,29.506666666666668,0.016905737704918034,1.4994877049180328,13.611554918032787,spoken_conv
spoken_face-to-face_charlotte_LowranceHugh,531,1238,0.5710823909531502,830,0.0,0.1746987951807229,5.5141242937853105,25.26530612244898,0.054613935969868174,1.6779661016949152,14.063469387755102,spoken_conv
spoken_face-to-face_charlotte_LowranceSally,991,2287,0.5666812418014866,1345,0.02119071644803229,0.13457249070631971,5.153380423814329,18.59349593495935,0.025227043390514632,1.4954591321897073,9.307881174472694,spoken_conv
spoken_face-to-face_charlotte_LuhrChantal,545,1325,0.5886792452830188,770,0.001834862385321101,0.11558441558441558,5.137614678899083,34.86842105263158,0.05137614678899083,1.5137614678899083,15.871069531627239,spoken_conv
