text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_source,meta_fileid,source_path
movie_reviews_batch_0022,1464,1939,0.012295081967213115,0.21248066013408973,0.2815884476534296,0.3445074780814853,0.2810727178958226,3.1057596646775396,3.208945653097231,0.43101092896174864,4.435792349726776,20.333333333333332,0.03346994535519126,1.4419398907103824,9.354890710382513,movie_reviews_batch_0022,reviews,movie_reviews,batch_44,nltk_multi_texts/movie_reviews_batch_0022.txt
state_union_1958-Eisenhower_txt,4876,7685,0.0026661197703035273,0.26883539362394276,0.36486662329212755,0.42966818477553675,0.33845152895250485,3.0109652885071547,3.0753758489808596,0.2797374897456932,4.968416735028712,19.046875,0.08798195242001641,1.6925758818703855,11.810676656070552,state_union_1958-Eisenhower_txt,oratorical,state_union,1958-Eisenhower.txt,nltk_multi_texts/state_union_1958-Eisenhower_txt.txt
abc_science_txt,31911,46516,0.026667920152925323,0.2506449393756987,0.3359704187806346,0.4048714420844441,0.31251612348439245,3.1254295399039553,3.1541083455883014,0.17508069317790104,4.928582620413024,22.26866713189114,0.04938735859108145,1.6346087556015167,12.383163497535445,abc_science_txt,news,abc,science.txt,nltk_multi_texts/abc_science_txt.txt
reuters_batch_0023,3739,5375,0.08077025942765445,0.26325581395348835,0.35572093023255813,0.42604651162790697,0.32390697674418606,3.05811957047388,3.1241322776955243,0.3003476865472051,4.880181866809307,23.22360248447205,0.05776945707408398,1.6282428456806632,12.680470547975926,reuters_batch_0023,news,reuters,batch_690,nltk_multi_texts/reuters_batch_0023.txt
webtext_grail_txt,10895,12695,0.037999082147774206,0.14501772351319417,0.2,0.23938558487593542,0.22063804647499016,3.3409744170414832,3.3928653676120244,0.15713630105553006,4.164203763194125,5.792131844763424,0.010922441486920606,1.3340982101881598,2.411290299678022,webtext_grail_txt,web_informal,webtext,grail.txt,nltk_multi_texts/webtext_grail_txt.txt
state_union_1998-Clinton_txt,7213,10387,0.0009704699847497574,0.2497352459805526,0.31760854914797343,0.3762395301819582,0.30191585635891016,3.173624169657437,3.221669013280245,0.23457645917094136,4.587411617912103,19.442048517520217,0.04824622209898794,1.5424927214751143,10.193813035239234,state_union_1998-Clinton_txt,oratorical,state_union,1998-Clinton.txt,nltk_multi_texts/state_union_1998-Clinton_txt.txt
reuters_batch_0029,3206,4342,0.09295071740486588,0.25195762321510823,0.33509903270382313,0.3991248272685398,0.31183786273606634,3.0624903575726106,3.133019445926235,0.3056768558951965,4.737367436057393,26.716666666666665,0.056768558951965066,1.567373674360574,13.324509357454772,reuters_batch_0029,news,reuters,batch_870,nltk_multi_texts/reuters_batch_0029.txt
state_union_1973-Nixon_txt,1683,2471,0.014854426619132501,0.27600161877782275,0.36584378794010525,0.42047753945770944,0.34318089842169164,2.9583311382469786,3.0635395273456387,0.3553178847296494,4.790255496137849,26.714285714285715,0.06001188354129531,1.6191325014854427,13.934334946099654,state_union_1973-Nixon_txt,oratorical,state_union,1973-Nixon.txt,nltk_multi_texts/state_union_1973-Nixon_txt.txt
movie_reviews_batch_0001,1554,2191,0.019305019305019305,0.22318575992697398,0.30488361478776815,0.37197626654495664,0.28480146052031036,3.0637641021197712,3.16312674498918,0.41312741312741313,4.711711711711712,18.951219512195124,0.04504504504504504,1.5534105534105533,10.131220140000629,movie_reviews_batch_0001,reviews,movie_reviews,batch_2,nltk_multi_texts/movie_reviews_batch_0001.txt
state_union_1995-Clinton_txt,9111,12517,0.0010975743606629349,0.23496045378285532,0.30438603499241035,0.35607573699768313,0.3030278820803707,3.1608768378129337,3.2123418482683292,0.1874657008012293,4.390187685215674,19.806521739130435,0.0405004939084623,1.4714081879047305,9.497160095536692,state_union_1995-Clinton_txt,oratorical,state_union,1995-Clinton.txt,nltk_multi_texts/state_union_1995-Clinton_txt.txt
inaugural_1789-Washington_txt,1428,2205,0.009103641456582634,0.272562358276644,0.36235827664399095,0.42585034013605444,0.34285714285714286,2.937149043057534,3.0184779419389307,0.41526610644257705,4.939775910364146,62.08695652173913,0.0700280112044818,1.6715686274509804,28.348422847399835,inaugural_1789-Washington_txt,oratorical,inaugural,1789-Washington.txt,nltk_multi_texts/inaugural_1789-Washington_txt.txt
state_union_1992-Bush_txt,5038,6781,0.0025803890432711395,0.23167674384309098,0.2996608169886447,0.3434596667158236,0.301872880106179,3.1740307004736046,3.229766575256423,0.260023818975784,4.39241762604208,15.694704049844237,0.03910281857880111,1.4410480349344978,7.5353013916663265,state_union_1992-Bush_txt,oratorical,state_union,1992-Bush.txt,nltk_multi_texts/state_union_1992-Bush_txt.txt
inaugural_1909-Taft_txt,5418,8310,0.0014765596160944998,0.2884476534296029,0.3725631768953069,0.43200962695547535,0.36040914560770154,2.963617729235713,3.0211491734699405,0.2511997046880768,4.826688815060908,34.075471698113205,0.07899593946105574,1.6382428940568476,17.030700112134955,inaugural_1909-Taft_txt,oratorical,inaugural,1909-Taft.txt,nltk_multi_texts/inaugural_1909-Taft_txt.txt
movie_reviews_batch_0015,1528,2126,0.003926701570680628,0.19990592662276577,0.28551269990592665,0.35983066792097834,0.26575729068673565,3.069157285817485,3.1752891422705263,0.41361256544502617,4.5065445026178015,19.844155844155843,0.04581151832460733,1.505890052356021,9.918723397021829,movie_reviews_batch_0015,reviews,movie_reviews,batch_30,nltk_multi_texts/movie_reviews_batch_0015.txt
reuters_batch_0033,3428,4939,0.0633022170361727,0.2532901397043936,0.33022879125329013,0.39380441384895726,0.30998177768779106,3.125014419152167,3.195695249588466,0.3130105017502917,4.849183197199533,23.31972789115646,0.047257876312718786,1.6201866977829638,12.622896911389994,reuters_batch_0033,news,reuters,batch_990,nltk_multi_texts/reuters_batch_0033.txt
inaugural_1877-Hayes_txt,2475,3792,0.0048484848484848485,0.3080168776371308,0.39425105485232065,0.4554324894514768,0.3905590717299578,2.8760106731568627,2.9429410448873585,0.32202020202020204,4.883636363636364,41.94915254237288,0.09333333333333334,1.6444444444444444,20.174613935969862,inaugural_1877-Hayes_txt,oratorical,inaugural,1877-Hayes.txt,nltk_multi_texts/inaugural_1877-Hayes_txt.txt
inaugural_1881-Garfield_txt,2957,4421,0.0047345282380791345,0.302872653245872,0.3727663424564578,0.4347432707532233,0.37706401266681744,2.9559692773386095,3.027163595585192,0.32363882313155223,4.842407845789651,26.63963963963964,0.08251606357795063,1.6198850185999323,13.914102678938661,inaugural_1881-Garfield_txt,oratorical,inaugural,1881-Garfield.txt,nltk_multi_texts/inaugural_1881-Garfield_txt.txt
reuters_batch_0005,5263,7509,0.06213186395591868,0.2594220269010521,0.34904780929551205,0.40924224264216275,0.3188174190970835,3.072891446192926,3.138518897244389,0.2701881056431693,4.909177275318259,24.031963470319635,0.051681550446513395,1.623408702261068,12.938688440105263,reuters_batch_0005,news,reuters,batch_150,nltk_multi_texts/reuters_batch_0005.txt
