text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_fileid,source_path
cf28,1984,2867,0.008568548387096774,0.23160097663062434,0.3097314265783048,0.3864666899197768,0.2877572375305197,3.1085858937174615,3.201168571918097,0.37399193548387094,4.78679435483871,21.333333333333332,0.04838709677419355,1.563508064516129,11.179395161290323,cf28,lore,cf28,brown_texts/cf28.txt
cp29,1961,2811,0.0071392146863844975,0.2305229455709712,0.31874777659196013,0.3738882959800783,0.2870864461045891,3.0937105598852543,3.1692712871657394,0.43243243243243246,4.708312085670576,12.733766233766234,0.04487506374298827,1.5481896991330955,7.644807280939357,cp29,romance,cp29,brown_texts/cp29.txt
cg58,1991,2868,0.009040683073832245,0.25662482566248257,0.3368200836820084,0.39191073919107394,0.3197350069735007,3.0342915118269924,3.1297949471064386,0.3797086891009543,4.762430939226519,26.546666666666667,0.04168759417378202,1.5650426921145153,13.230703766951283,cg58,belles_lettres,cg58,brown_texts/cg58.txt
ce06,1964,2879,0.010183299389002037,0.2518235498436957,0.3285863146926016,0.3945814518930184,0.3094824591872178,3.100513167378022,3.1920555110183444,0.39154786150712834,4.787169042769857,21.347826086956523,0.04429735234215886,1.60030549898167,11.61925706189675,ce06,hobbies,ce06,brown_texts/ce06.txt
cc15,2018,2828,0.02527254707631318,0.25070721357850073,0.32248939179632247,0.3882602545968883,0.30975954738330974,3.142441363504951,3.21654456546063,0.5034687809712587,4.866204162537166,16.95798319327731,0.027750247770069375,1.586719524281467,9.746903831899463,cc15,reviews,cc15,brown_texts/cc15.txt
ck20,1996,2552,0.021042084168336674,0.20768025078369906,0.2817398119122257,0.3358150470219436,0.27507836990595613,3.1648997308530125,3.243638202286423,0.4093186372745491,4.410320641282565,13.67123287671233,0.03657314629258517,1.433867735470942,6.661420100474924,ck20,fiction,ck20,brown_texts/ck20.txt
cf06,2033,2695,0.003935071323167732,0.18256029684601113,0.25269016697588126,0.3176252319109462,0.2634508348794063,3.216516652666958,3.2971815552374544,0.34923757993113624,4.219380226266601,9.635071090047393,0.043777668470241025,1.410723069355632,4.814209943514943,cf06,lore,cf06,brown_texts/cf06.txt
ca06,1947,2922,0.007190549563430919,0.24777549623545517,0.33744010951403147,0.406570841889117,0.3138261464750171,3.027487398985877,3.1305845487039337,0.3728813559322034,4.861325115562404,21.633333333333333,0.060092449922958396,1.6091422701592193,11.83487878787879,ca06,news,ca06,brown_texts/ca06.txt
cc08,2026,2694,0.017769002961500493,0.2208611729769859,0.2991833704528582,0.36005939123979214,0.29324424647364516,3.112521268309574,3.1928832266823908,0.40078973346495556,4.572556762092794,23.022727272727273,0.03504442250740375,1.4654491609081934,10.681163735080322,cc08,reviews,cc08,brown_texts/cc08.txt
ch29,1907,3096,0.0036706869428421605,0.27487080103359174,0.38921188630490955,0.4460594315245478,0.3385012919896641,2.8930153527826827,3.001944981096039,0.33088620870477187,5.160985841636077,31.262295081967213,0.07865757734661773,1.736234923964342,17.08986718474645,ch29,government,ch29,brown_texts/ch29.txt
